,name,класс,предпологаемая
0,Инженер-монтажник,2,2
1,Системный администратор,7,7
2,Системный администратор со знаниями программирования,7,7
3,Бизнес-аналитик,1,6
4,Ассистент менеджера IT-проектов,5,6
5,Системный администратор,7,6
6,Ведущий инженер группы баз данных оборудования и материалов,2,2
7,Специалист по тендерам,8,8
8,Системный администратор,7,8
9,Администратор ИС (Junior),3,3
10,Инсталлятор,3,3
11,Программист-аналитик,6,6
12,3D-дизайнер,3,3
13,Специалист технической поддержки,8,8
14,Специалист технической поддержки,8,8
15,Мастер настройки/Техподдержка,3,3
16,Инженер сервисного центра,2,2
17,Начинающий разработчик 1C/Junior,6,6
18,Компьютерный мастер,3,6
19,Программист,6,6
20,Системный администратор,7,6
21,Ведущий инженер,2,6
22,Инженер по сетевым технологиям,2,6
23,Сервисный инженер г. Тюмень,2,6
24,Аналитик\Технический писатель,1,1
25,Сервисный инженер в Тюмени,2,2
26,Техник подключения,3,6
27,Системный администратор,7,6
28,Технический писатель (Стажер),3,6
29,Инженер связи,2,6
30,Инженер электросвязи,2,2
31,Интернет-маркетолог,4,6
32,Системный инженер-техник ИТ,2,6
33,Сетевой инженер,2,6
34,Выездной Инженер ККТ,2,2
35,Менеджер по сопровождению клиентов,5,6
36,Дизайнер / Маркетолог,4,6
37,Специалист отдела сопровождения образовательных программ,8,6
38,Тестировщик ПО,10,10
39,Менеджер интернет-магазина,5,5
40,Инженер электросвязи 2 категории,2,2
41,Стажёр в отдел прямых продаж,3,3
42,Помощник SEO-специалиста,8,8
43,Аналитик бизнес-процессов,1,1
44,Тестировщик (ручное тестирование),10,6
45,Инженер по строительству (Телеком),2,6
46,Менеджер интернет-магазина,5,6
47,Администратор корпоративной веб-системы для проектирования [id71721],0,6
48,Системный инженер (администратор),2,6
49,Дизайнер интерфейсов (UX/UI),3,6
50,React Native developer,6,6
51,Менеджер интернет-магазина,5,6
52,Ведущий инженер группы прикладного программирования,2,6
53,Специалист отдела сервиса и гарантии (Системный администратор),7,6
54,Специалист по информационной поддержке,8,6
55,Специалист технической поддержки,8,6
56,Системный администратор,7,6
57,DevOps Engineer Linux,2,2
58,"Программист 1С (возможно, удаленное сотрудничество)",6,6
59,Менеджер по развитию услуг сервисного центра,5,6
60,Менеджер по продажам,5,5
61,Инженер связи,2,62
62,Монтажник,3,3
63,Мастер по ремонту компьютеров,3,6
64,Руководитель группы бизнес-анализа (руководитель отдела маркетинга),1,6
65,Начинающий Abap-программист / Junior Abap,6,6
66,Специалист абонентского отдела,8,6
67,Техник-электрик,3,6
68,Специалист службы поддержки Рекламной сети Яндекса,9,6
69,Ведущий инженер сектора автоматизации учета,2,6
70,Frontend-разработчик,0,0
71,Программист Python,6,6
72,Ведущий специалист отдела поддержки пользователей и рабочих мест [id52468],8,6
73,Руководитель VFX,3,3
74,Интернет-маркетолог,4,6
75,Программист 1С,6,6
76,Ведущий инженер по информационным технологиям (САПР),2,6
77,Руководитель проектов,3,6
78,Android разработчик (middle),6,6
79,Ведущий инженер отдела информационных технологий и средств связи,2,6
80,Системный аналитик,1,1
81,Персональный менеджер по работе с корпоративными клиентами,5,6
82,Интернет-маркетолог,4,6
83,Системный аналитик,1,6
84,IOS разработчик,6,6
85,Менеджер по продажам b2b,5,6
86,Электромеханик-водитель (В),3,6
87,Менеджер по продажам,5,6
88,Системный администратор,7,6
89,"Инженер, г.Тюмень",2,6
90,Менеджер по продажам (В2В),5,6
91,Администратор информационных систем,3,6
92,Руководитель проектов в IT,3,6
93,"Заместитель технического директора (экструзионный инструмент, оснастка)",3,6
94,Инженер по нормативно-технической документации пуско-наладочных работ,2,6
95,Мастер по ремонту телефонов,3,6
96,Frontend-разработчик,0,6
97,Ведущий инженер,2,6
98,Инженер-аналитик,1,6
99,Разработчик PHP,6,6
100,Менеджер по продажам (сервисный центр по ремонту мобильных телефонов),5,6
101,Специалист поддержки 1С,8,6
102,Директолог,3,6
103,Специалист по эксплуатации систем маркировки,8,6
104,Java-разработчик,6,6
105,Разработчик 1С,6,6
106,Менеджер отдела развития,5,6
107,Монтажник слаботочных систем,3,6
108,Руководитель онлайн-проекта,3,6
109,Менеджер по развитию бизнеса в государственном сегменте (B2G),5,6
110,Наладчик станков с ЧПУ,3,6
111,Инженер технической поддержки,2,6
112,Middle разработчик,6,6
113,Системный администратор,7,6
114,Разработчик-тестировщик 1С,10,6
115,Инженер-разработчик (БИСквит),6,6
116,"Инженер-разработчик (ЦФТ-банк, IBSO)",6,6
117,"2D Аниматор (Spine, казуальные игры) удаленно",3,6
118,Специалист по развитию корпоративных клиентов,8,6
119,Инженер по АСУТП,2,6
120,Web-программист,0,6
121,Ведущий специалист (ДМИР Отдел по развитию сбытовой деятельности юридическим лицам),8,6
122,Руководитель отдела анализа данных (Data Analytic),1,6
123,Backend developer,0,6
124,Продавец-консультант,3,6
125,Специалист службы поддержки пользователей,9,6
126,Ведущий разработчик 1С,6,6
127,Стажер в отдел продаж,3,6
128,Эксперт по ИТ-инфраструктуре (Отдел СБТ),3,6
129,Менеджер проекта,5,6
130,"Мастер по ремонту телевизоров, ноутбуков и компьютеров в Тюмени",3,6
131,Региональный представитель (44/223-ФЗ),3,6
132,Программист 1C,6,6
133,Оператор станков с ЧПУ,3,6
134,Программист (senior),6,6
135,Разработчик BI- систем,6,6
136,Бригадир,3,6
137,Менеджер по продажам (курсы 1С),5,6
138,Специалист по продажам и работе с клиентами 72.ru,8,6
139,"Инженер КИПиА, АСУТП",2,6
140,Middle Java Developer,6,6
141,Руководитель отдела интернет-маркетинга,3,6
142,Аналитик-разработчик DWH,6,6
143,Системный администратор,7,7
144,Менеджер по привлечению клиентов (отдел TRADE IN),5,6
145,Оператор - Наладчик станков с ЧПУ,3,6
146,Программист Python,6,6
147,Менеджер по продажам СБИС,5,6
148,Инженер-схемотехник,2,2
149,Full stack разработчик [56961],0,6
150,Технический писатель,3,6
151,Интернет-маркетолог (Digital-маркетолог),4,6
152,Senior Frontend developer,0,6
153,Слесарь-электрик по ремонту электрооборудования автомобилей,3,6
154,Консультант 1С [id64345],3,6
155,"Инженер/техник слаботочных систем (ОПС,АПС,СОУЭ, АУПТ, ОС)",2,6
156,Java-разработчик,6,6
157,Инженер головной станции,2,6
158,Видеомонтажер,3,3
159,Менеджер вводных уроков (Математика),5,6
160,Разработчик ПО,6,6
161,Разработчик (BackEnd),0,6
162,Программист 1 С,6,6
163,Middle/Senior Python Developer (Machine Learning),6,6
164,Руководитель отдела разработки отчетной системы,3,6
165,Программист 1C,6,6
166,Разработчик баз данных (Тюмень),6,6
167,Программист 1С,6,6
168,Менеджер по продажам (B2B),5,6
169,Инженер АСУ,2,2
170,Эксперт (сопровождения САПР инженерное ПО),2,6
171,PHP-разработчик,6,6
172,Директор технологического блока (г. Сургут),3,6
173,Заместитель руководителя отдела интернет-маркетинга,3,6
174,Старший менеджер интернет-магазина,5,6
175,Учитель информатики,3,6
176,Преподаватель по робототехнике,3,6
177,PHP Веб-разработчик Bitrix24,0,0
178,Разработчик Java/Spring,6,6
179,Программист 1С,6,6
180,Demo Teacher (Математика),3,6
181,Менеджер по продажам вводного урока математики,5,6
182,Программист 1С ЗУП,6,6
183,Менеджер корпоративных продаж,5,6
184,Java developer (удаленная работа),6,6
185,Инженер-программист АСУТП (разработка и внедрение программного обеспечения),6,6
186,Инженер проекта,2,6
187,Программист 1С,6,6
188,Консультант SAP PM/Ведущий консультант SAP PM [23041],3,6
189,Программист 1С [id65861],6,6
190,Teamlead / ведущий JavaScript разработчик,6,6
191,Программист 1С (Санкт-Петербург),6,6
192,Специалист офиса продаж Билайн,8,6
193,Менеджер по продажам B2B,5,6
194,Frontend-разработчик (Angular),0,6
195,"Продавец-консультант TELE2 (Олимпийская, 10/1)",3,6
196,Оператор саll-центра,3,6
197,Начальник отдела развития электронных услуг,3,6
198,Старший специалист по поиску и аренде технологических позиций,8,6
199,Web-программист 1C-Bitrix,0,6
200,Специалист по продаже и установке спутникового ТВ,8,6
201,Продавец-консультант в салон сотовой связи,3,6
202,Программист 1С,6,6
203,Специалист саll-центра,8,6
204,Senior Java developer (Legal Tech),6,6
205,Инженер по слаботочным системам (аэропорт в г. Новый Уренгой),2,6
206,Java Developer Senior / Team Lead,6,6
207,Инженер по системам автоматизированного проектирования (САПР),2,6
208,Менеджер по продажам,5,6
209,Специалист IT,8,6
210,"Программист 1С (ЗУП, БП)",6,6
211,Менеджер по продажам (гофрокартон и гофроупаковка),5,6
212,Ведущий программист 1C,6,6
213,Менеджер маркетинговых проектов,5,6
214,Монтажник слаботочных систем,3,6
215,Программист 1C,6,6
216,Главный специалист автоматизации процесса (макросы) УМАСИТИБ (в ЯНАО),8,6
217,Web-программист,0,6
218,Инженер-программист,6,6
219,Системный администратор,7,6
220,Графический дизайнер (дизайн презентаций),3,6
221,Разработчик систем бизнес-аналитики (ETL),6,6
222,Специалист по продажам (телефонные переговоры),8,6
223,Web-дизайнер,0,6
224,Начальник сектора автоматизации учета,3,6
225,Системный администратор,7,6
226,Инженер АСУ,2,6
227,Мастер по ремонту и настройке игровых приставок,3,6
228,Маркетинг-менеджер (аккаунт-менеджер) / стажер,5,6
229,Программист,6,6
230,Системный администратор,7,6
231,Начальник отдела системного администрирования,3,6
232,"Интернет-маркетолог (таргетолог, директолог)",4,6
233,3d визуализатор,3,6
234,Оператор саll-центра,3,6
235,Педагог дополнительного образования VR/AR- Айти квантум,3,6
236,Менеджер по продажам В2В для Яндекс.Талантов,5,6
237,"Продавец-консультант TELE2 (Мельникайте, 126/3)",3,6
238,Developer iOS (Разработка решения Service Desk),6,6
239,Менеджер по продажам В2В для Яндекс.Директа,5,6
240,Оператор колл-центра (исходящие звонки),3,6
241,Ведущий разработчик ABAP [55746],6,6
242,Разработчик Java,6,6
243,Менеджер по продажам,5,6
244,Специалист салона связи,8,6
245,Преподаватель программирования,3,6
246,Программист 1С,6,6
247,Разработчик ABAP [55745],6,6
248,Android разработчик,6,6
249,Специалист техподдержки 1С:УПП/1С:УХ [id49561],9,6
250,Программист-разработчик 1С,6,6
251,Преподаватель курсов программирования для детей младшего возраста,3,6
252,Консультант проектов внедрения,3,6
253,Специалист технической поддержки,8,6
254,Менеджер проекта,5,6
255,PHP-разработчик,6,6
256,Angular разработчик,6,6
257,Инженер технической поддержки,2,6
258,Ведущий консультант SAP MM/SD [27784],3,6
259,Программист 1С,6,6
260,Руководитель департамента маркетинга,3,6
261,Разработчик битрикс 24,6,6
262,Администратор 1С,3,6
263,Наладчик станков и манипуляторов с программным управлением,3,6
264,Эксперт по новостройкам,3,6
265,Web-программист PHP (middle),0,6
266,Руководитель отдела эксплуатации бизнес приложений ( в г. Екатеринбурге),3,6
267,Администратор интернет-портала на Bitrix,3,6
268,Менеджер по продажам,5,6
269,SEO-специалист,8,6
270,Преподаватель курсов программирования 1С,3,6
271,Ведущий инженер-программист 1С отдела разработки отраслевого программного обеспечения,6,6
272,Преподаватель программы VBA в MS Excel,3,6
273,Ведущий специалист технической поддержки инженерного ПО,2,6
274,Руководитель ПТО,3,6
275,Разработчик баз данных,6,6
276,Ведущий специалист на поддержку программного обеспечения нефтедобычи (СУБД ORACLE) [id53721],8,6
277,Ведущий специалист отдела информационных технологий (аналитик - консультант 1С),1,6
278,Ведущий разработчик .net [id68921],6,6
279,Ведущий инженер по эксплуатации сети ШПД,2,6
280,Руководитель по продажам услуг фиксированного бизнеса (г. Пермь),3,6
281,Senior Разработчик приложений для iOS и Android,6,6
282,Менеджер проектов,5,6
283,Ведущий инженер-проектировщик,2,6
284,Middle developer,6,6
285,Системный аналитик (ЦФТ-банк),1,6
286,Инженер по эксплуатации и планированию транспортной сети,2,6
287,Python разработчик (middle),6,6
288,Программист 1С,6,6
289,ИТ-архитектор,3,6
290,Учитель робототехники,3,6
291,Эксперт (сопровождения САПР Tekla),3,6
292,Электромеханик связи,3,6
293,Fullstack Developer,0,6
294,Специалист по продажам,8,6
295,Инженер-системный программист,6,6
296,Менеджер по проектам,5,6
297,Консультант-аналитик SAP PP,1,6
298,Начальник отдела информационной безопасности,3,6
299,Сетевой инженер,2,6
300,Специалист по МДЛП,8,6
301,Менеджер по продажам,5,6
302,Менеджер по продажам (Оборудование КИПиА),5,6
303,Выездной компьютерный мастер,3,6
304,Разработчик бизнес-решений,6,6
305,Программист С++,6,6
306,Системный администратор,7,6
307,Специалист отдела координации (специалист по работе с клиентами),8,6
308,Главный специалист по проектированию сетей связи,8,6
309,Мастер по ремонту сотовых телефонов (инженер),2,6
310,Программист 1С,6,6
311,Менеджер по работе с корпоративными клиентами,5,6
312,Руководитель интернет-портала,3,6
313,SAP ABAP Solman разработчик,6,6
314,Менеджер по работе с корпоративными клиентами,5,6
315,Разработчик отчетов,6,6
316,Монтажник,3,6
317,Менеджер по продажам digital-услуг,5,6
318,Программист .NET (С#) / ASP.NET,6,6
319,Администратор баз данных (Отдел инфраструктурных сервисов),3,6
320,Администратор SAP Basis,3,6
321,Менеджер по продажам (IT-компания),5,6
322,Специалист по медицинский информационным системам,8,6
323,Специалист по работе с клиентами,8,6
324,Маркетолог,4,6
325,Специалист технической поддержки 1С,8,6
326,Senior PHP Developer / web-разработчик,0,6
327,Мастер по ремонту компьютеров,3,6
328,Региональный управляющий по развитию продаж,3,6
329,Администратор САПР,3,6
330,Senior developer,6,6
331,Руководитель ИТ направления,3,6
332,Технический директор,3,6
333,Программист 1C,6,6
334,Менеджер по продажам интернет - рекламы,5,6
335,Начальник филиала,3,6
336,Инженер АСУ ТП,2,6
337,Инженер-программист станокв с ЧПУ 2 категории,6,6
338,Интернет-маркетолог,4,6
339,Менеджер интернет-проектов,5,6
340,CRM администратор,3,6
341,Видеомонтажер,3,6
342,Консультант SAP(Удаленно),3,6
343,Python разработчик,6,6
344,Ведущий разработчик 1С,6,6
345,Системный аналитик,1,6
346,Программист 1С,6,6
347,Специалист технической поддержки Управление технической поддержки бизнес - приложений,8,6
348,Менеджер по продажам B2B (удаленно),5,6
349,Middle PHP Developer / web-разработчик,0,6
350,Веб-разработчик ( full stack),0,6
351,Маркетолог,4,6
352,Bitrix - разработчик,6,6
353,Мобильный сервисный инженер,2,6
354,Главный специалист отдела информационных технологий (разработчик - консультант 1С),6,6
355,Руководитель группы по работе с крупными корпоративными клиентами,3,6
356,Специалист 1С,8,6
357,Java-программист,6,6
358,Senior Backend developer,0,6
359,Ведущий программист 1С,6,6
360,Менеджер проектов,5,6
361,Программист 1С,6,6
362,"Fullstack-разработчик (Python, Django)",0,6
363,Инженер-программист АСУ ТП,6,6
364,Front-end разработчик,0,6
365,Программист 1C,6,6
366,SEO-специалист,8,6
367,Руководитель отдела головной станции и информационных технологий,3,6
368,Java developer,6,6
369,Key .NET Developer,6,6
370,Глобальный системный администратор,7,6
371,Flutter разработчик,6,6
372,Заместитель руководителя IT-департамента,3,6
373,Frontend-разработчик (Middle),0,6
374,Java-разработчик,6,6
375,Системный аналитик,1,6
376,Инженер-электроник,2,6
377,Инженер радиосвязи,2,6
378,Бизнес-аналитик,1,6
379,Техник-инженер по обслуживанию слаботочных систем,2,6
380,Менеджер проектов (Битрикс24),5,6
381,"Менеджер по работе с корпоративными клиентами (компания ""Вместе"")",5,6
382,Аккаунт менеджер (персональный менеджер) удаленно,5,6
383,Ассистент инженера АСУ,2,6
384,Начальник участка автоматизированных систем управления производством,3,6
385,Руководитель абонентского отдела,3,6
386,Монтажник (силовые сети),3,6
387,Инженер АСУ ТП,2,6
388,Веб-дизайнер,0,6
389,Программист JS,6,6
390,Бизнес-аналитик Корпоративного хранилища данных,1,6
391,Клиент-менеджер (удаленно),5,6
392,Проектировщик пользовательских интерфейсов (UI/UX),3,6
393,BI Analyst,3,6
394,"Ведущий инженер по КИПиА, АСУТП (вахта)",2,6
395,Системный администратор,7,6
396,Специалист сервисного центра,8,6
397,Бизнес-аналитик,1,6
398,Ведущий менеджер по продажам,5,6
399,"Монтажник/сборщик шкафов связи, электрощитов",3,6
400,Старший специалист по продажам корпоративным клиентам,8,6
401,Cкрам-Мастер (коуч IT-команды),3,6
402,Специалист по поиску площадок для аренды,8,6
403,Специалист отдела технической поддержки,8,6
404,Оператор call-центра,3,6
405,Интернет-маркетолог,4,6
406,Специалист в службу поддержки геосервисов,8,6
407,Ведущий программист,6,6
408,Web-разработчик,0,6
409,Обозреватель,3,6
410,Android разработчик,6,6
411,Специалист по возврату оборудования,8,6
412,Специалист службы поддержки пользователей,9,6
413,Специалист отдела технической поддержки,8,6
414,Junior Web Developer,0,6
415,Front-end разработчик,0,6
416,Сервисный инженер,2,6
417,Специалист технической поддержки,8,6
418,Маркетолог-аналитик,4,6
419,Техник связи,3,6
420,Python-разработчик Pre Middle / Middle,6,6
421,Ведущий специалист технической поддержки [id55284],8,6
422,Менеджер по продажам медицинского оборудования,5,6
423,IOS разработчик,6,6
424,Менеджер проектов,5,6
425,Менеджер отдела продаж,5,6
426,Инженер технической поддержки,2,6
427,Frontend-разработчик,0,6
428,Аналитик отдела закупа,1,6
429,Инженер-монтажник,2,6
430,Менеджер по работе с корпоративными клиентами (по продажам),5,6
431,Ведущий инженер по серверной инфраструктуре,2,6
432,Инженер по внедрению и сопровождению лабораторной информационной системы,2,6
433,Программист-стажер 1С,6,6
434,Администратор сайта,3,6
435,Руководитель направления разработки,3,6
436,Сервисный инженер,2,6
437,Менеджер по работе с клиентами (аккаунт-менеджер),5,6
438,Монтажник слаботочных систем,3,6
439,Менеджер IT-проектов (Project Manager),5,6
440,Full stack pазработчик (PHP),0,6
441,Сервисный инженер,2,6
442,Инженер-паспортист,2,6
443,Программист / web-разработчик (backend),0,6
444,Системный аналитик,1,6
445,Специалист группы технической поддержки,8,6
446,Инженер электросвязи,2,6
447,"Ведущий инженер по КИПиА, АСУТП",2,6
448,Специалист по внедрению и сопровождению программных продуктов,8,6
449,Системный администратор,7,6
450,Web-программист,0,6
451,Специалист технической поддержки,8,6
452,Специалист по развитию сбытовой деятельности физ. лицам (методология),8,6
453,Специалист по подбору персонала (фиксированный бизнес),8,6
454,Консультант (1С:8),3,6
455,Инженер АСУ,2,6
456,Специалист технической поддержки,8,6
457,UX\UI дизайнер / web дизайнер,0,6
458,Python Программист,6,6
459,Системный администратор,7,6
460,Расклейщик объявлений,3,6
461,СММ-специалист/маркетолог в компьютерный клуб «Прайм»,4,6
462,Ведущий инженер по телекоммуникациям,2,6
463,Оператор call-центра,3,6
464,Интернет-маркетолог,4,6
465,Web Developer (Full stack),0,6
466,Младший web-дизайнер/ Junior-дизайнер,0,6
467,Системный администратор,7,6
468,Менеджер по сопровождению клиентов,5,6
469,Junior/Middle/Seniour Unity Developer (Hyper-Casual),6,6
470,Системный администратор,7,6
471,Менеджер интернет-магазина (читайте внимательно!),5,6
472,Тестировщик,10,6
473,Системный администратор,7,6
474,Специалист-аналитик/ Специалист по обработке данных,1,6
475,Помощник системного администратора,3,6
476,Ведущий менеджер по работе с корпоративными клиентами,5,6
477,Инженер 1 категории АСУТП,2,6
478,Продавец-консультант,3,6
479,Администратор EFB,3,6
480,Менеджер по развитию (продажи),5,6
481,Оператор саll-центра,3,6
